ssc,suburb_name,state,postcodes
10658,BOWMAN FARM,NSW,2422
10659,BOWMANS CREEK,NSW,2330
10660,BOWNA,NSW,2644
10661,BUNDING,NSW,2582
10662,BOWRAL,NSW,2576
10663,BOWRAVILLE,NSW,2449
10664,BOX HEAD,NSW,2257
10665,BOX HILL,NSW,2765
10666,BOX RIDGE,NSW,2357
10667,BOX RIDGE,NSW,2795
10668,BOXERS CREEK,NSW,2580
10669,BOYDTOWN,NSW,2551
10670,BRADBURY,NSW,2560
10671,BRADFIELD,NSW,2556
10672,GRANGEFIELDS,NSW,2339
10673,BRAEMAR,NSW,2575
10674,BRAEMAR BAY,NSW,2628
10675,BRAIDWOOD,NSW,2622
10676,BRANDY HILL,NSW,2324
10677,BRANGA PLAINS,NSW,2354
10678,BRANXTON,NSW,2335
10679,BRASSI,NSW,2710
10680,BRAUNSTONE,NSW,2460
10681,BRAWBOY,NSW,2337
10682,INVERMAY PARK,NSW,2484
10683,BRAYS CREEK,NSW,2484
10684,BRAYTON,NSW,2579
10685,BREADALBANE,NSW,2581
10686,BREAKFAST CREEK,NSW,2849
10687,BREAKFAST POINT,NSW,2137
10688,BREAM BEACH,NSW,2540
10689,BREDBO,NSW,2626
10690,GEELONG,NSW,2827
10691,BREEZA,NSW,2381
10692,BRENDA,NSW,2831
10693,BRERETON,NSW,2787
10694,BRETTI,NSW,2422
10695,BREWARRINA,NSW,2839
10696,BREWONGLE,NSW,2795
10697,BRIARBROOK,NSW,2365
10698,BRIBBAREE,NSW,2594
10699,BRIDGMAN,NSW,2330
10700,BRIERFIELD,NSW,2454
10701,BRIGGSVALE,NSW,2453
10702,BRIGHTON ROAD,NSW,2216
10703,BRIGHTON-LE-SANDS,NSW,2216
10704,BRIGHTWATERS,NSW,2264
10705,BRIT BRIT,NSW,2441
10706,BRIMBIN,NSW,2430
10707,BRINDABELLA,NSW,2611
10708,BRINERVILLE,NSW,2441
10709,BRINERVILLE,NSW,2454
10710,BRINGELLY,NSW,2556
10711,BRINGENBRONG,NSW,3707
10712,BRISBANE GROVE,NSW,2580
10713,BROADMEADOWS,NSW,2292
10714,BROADWATER,NSW,2472
10715,BROADWATER,NSW,2549
10716,BROADWAY,NSW,1401
10717,BROADWAY,NSW,2007
10718,BROADWAY,NSW,2581
10719,BROBENAH,NSW,2705
10720,BROCKLEHURST,NSW,2830
10721,BROCKLESBY,NSW,2642
10722,BUCKLEY,NSW,2365
10723,BRODIES PLAINS,NSW,2360
10724,BROGANS CREEK,NSW,2848
10725,BROGERS CREEK,NSW,2535
10726,BROGO,NSW,2550
10727,BROKE,NSW,2330
10728,BROKEN DAM,NSW,2629
10729,BROKEN HEAD,NSW,2481
10730,BROWN HILL,NSW,2880
10731,BROKEN HILL NORTH,NSW,2880
10732,BROKEN HILL WEST,NSW,2880
10733,BROLGAN,NSW,2870
10734,BROMBIN,NSW,2446
10735,BRONTE,NSW,2024
10736,BROOKDALE,NSW,2656
10737,BROOKFIELD,NSW,2420
10738,BROOKLANA,NSW,2450
10739,DOCKLANDS,NSW,2583
10740,BROOKLET,NSW,2479
